id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
FOXG_07166	2,836814283	2,931787565	2,741841001	0,935211348	-0,096635659	1	1
FOXG_13063	107,9038058	2,941619523	212,865992	72,3635366	6,177191013	2,04E-06	8,96E-05
FOXG_05845	3,144830116	2,941619523	3,348040709	1,138162391	0,186706413	1	1
FOXG_06663	13,13082974	2,943070289	23,31858919	7,923218578	2,986086602	0,016849616	0,136657111
FOXG_03909	1,683966305	2,943070289	0,424862322	0,144360236	-2,792254688	0,310989121	0,857334177
FOXG_15090	5,401386593	2,948202429	7,854570757	2,664189772	1,41369685	0,417112434	0,954955972
FOXG_00498	2,848235663	2,948202429	2,748268896	0,932184598	-0,101312419	1	1
FOXG_15152	3,583564712	2,958034387	4,209095036	1,422936479	0,508871261	0,780088654	1
FOXG_13691	9,340741229	2,959485153	15,7219973	5,312409588	2,409366383	0,095738189	0,455074417
FOXG_22866	1,479742577	2,959485153	0	0	#NAME?	0,152891761	0,601191595
FOXG_12006	4,269510143	2,959485153	5,579535133	1,885306006	0,914798708	0,486340252	1
FOXG_13463	2,946996613	2,959485153	2,934508072	0,991560329	-0,012227543	0,979122007	1
FOXG_19267	1,482308647	2,964617293	0	0	#NAME?	0,152636076	0,600904131
FOXG_13989	1,694739807	2,964617293	0,424862322	0,143311018	-2,802778566	0,309607259	0,855270571
FOXG_03667	4,326911078	2,964617293	5,689204863	1,919035174	0,940381155	0,488138618	1
FOXG_12685	2,33203329	2,964617293	1,699449286	0,573244071	-0,802778566	0,737417006	1
FOXG_02358	2,763323507	2,964617293	2,56202972	0,864202515	-0,210558666	0,972374961	1
FOXG_06794	3,368760162	2,964617293	3,77290303	1,272644209	0,347829144	1	1
FOXG_15824	6,032903435	2,969749433	9,096057438	3,062904007	1,614900153	0,283058156	0,820938495
FOXG_18829	1,697305877	2,969749433	0,424862322	0,143063356	-2,805273901	0,309280432	0,855270571
FOXG_21526	2,672769989	2,969749433	2,375790545	0,799996969	-0,321933561	0,848799314	1
FOXG_18085	3,164559913	2,969749433	3,359370393	1,131196577	0,17784966	0,887739505	1
FOXG_10708	10,78172915	2,979581391	18,58387691	6,237076446	2,640869942	0,053833296	0,313167673
FOXG_13567	1,489790695	2,979581391	0	0	#NAME?	0,14027818	0,5694173
FOXG_05680	23,62417731	2,981032157	44,26732247	14,84966285	3,892358271	0,001932933	0,02469592
FOXG_14554	10,67447265	2,981032157	18,36791314	6,161595101	2,623303881	0,032932712	0,221471482
FOXG_15609	20,52893816	2,986164297	38,07171202	12,7493695	3,672353998	0,002910888	0,034536101
FOXG_02449	6,89343925	2,98984567	10,79703283	3,611234164	1,852491972	0,273467985	0,80938654
FOXG_04142	3,672802371	3,001128395	4,344476348	1,447614289	0,533677254	0,785165033	1
FOXG_10181	2,426858286	3,001128395	1,852588178	0,617297208	-0,695962829	0,950302203	1
FOXG_07003	1,92936585	3,002579161	0,856152539	0,28513904	-1,810262516	0,458242943	0,986394009
FOXG_16384	2,875424029	3,002579161	2,748268896	0,915302728	-0,127679115	1	1
FOXG_02836	2,178708472	3,006260534	1,351156411	0,449447543	-1,153775353	0,708719502	1
FOXG_13957	4,119994852	3,006260534	5,233729171	1,740943312	0,799869227	0,726340913	1
FOXG_09663	339,583008	3,017543259	676,1484728	224,0725036	7,807821814	8,83E-09	8,07E-07
FOXG_10184	1,508771629	3,017543259	0	0	#NAME?	0,138454703	0,565862515
FOXG_10218	3,031623583	3,017543259	3,045703908	1,00933231	0,013401242	0,895794095	1
FOXG_00381	2,85104925	3,017543259	2,684555241	0,889649298	-0,168691361	0,910393732	1
FOXG_05653	3,159813946	3,017543259	3,302084634	1,094295707	0,130002644	1	1
FOXG_03239	4,926306011	3,022675398	6,829936623	2,259566683	1,176046133	0,499237516	1
FOXG_21271	4,283310016	3,024126165	5,542493867	1,832758809	0,874016939	0,607980278	1
FOXG_17042	5,109446414	3,027807538	7,191085289	2,375013999	1,247936017	0,504394806	1
FOXG_16409	3975,572825	3,032939678	7948,112711	2620,59703	11,35567981	1,53E-13	1,14E-10
FOXG_00486	7,589801406	3,032939678	12,14666313	4,004914184	2,001771329	0,161563551	0,622533111
FOXG_10141	1,793239052	3,039090262	0,547387842	0,180115691	-2,473004227	0,274670512	0,811587001
FOXG_11615	3,772810155	3,039090262	4,506530048	1,482854953	0,568377486	0,880663067	1
FOXG_19147	12,67785069	3,040541029	22,31516036	7,339207117	2,875624211	0,020238361	0,156064886
FOXG_20193	77,34897347	3,044222402	151,6537245	49,81690051	5,638563358	1,20E-05	0,000405819
FOXG_01450	2,989365237	3,044222402	2,934508072	0,963959818	-0,052955085	1	1
FOXG_10949	76,76119824	3,045673169	150,4767233	49,40672061	5,626635394	2,10E-05	0,00064785
FOXG_18714	10,64371275	3,049354542	18,23807095	5,980961118	2,580377339	0,067354043	0,363402666
FOXG_04314	5,549503623	3,049354542	8,049652704	2,639789042	1,400422641	0,254751451	0,790177389
FOXG_03783	1,737108432	3,049354542	0,424862322	0,139328607	-2,843436588	0,281366272	0,818332081
FOXG_15774	1,949539593	3,049354542	0,849724643	0,278657215	-1,843436588	0,422863096	0,957969346
FOXG_10703	3,137434865	3,049354542	3,225515188	1,057769814	0,081025711	1	1
FOXG_14820	1,527243341	3,054486681	0	0	#NAME?	0,136726328	0,562098619
FOXG_20956	1,527243341	3,054486681	0	0	#NAME?	0,136726328	0,562098619
FOXG_05630	3,973175436	3,054486681	4,89186419	1,601533973	0,679454402	0,719458488	1
FOXG_17935	2,511586242	3,054486681	1,968685803	0,644522635	-0,63369707	0,94161036	1
FOXG_22508	373,7514542	3,060637266	744,4422711	243,2311334	7,926184094	7,40E-09	7,04E-07
FOXG_10332	11,37257623	3,060637266	19,68451519	6,431508696	2,685157203	0,044121809	0,273381494
FOXG_10015	4,736069731	3,060637266	6,411502197	2,094825894	1,066830343	0,548245932	1
FOXG_18133	3,210729213	3,062088033	3,359370393	1,097084851	0,133675111	0,890841671	1
FOXG_01600	54,90519228	3,065769406	106,7446152	34,81821397	5,121770295	5,10E-05	0,001292567
FOXG_01375	3,998580888	3,065769406	4,93139237	1,608533362	0,685745859	0,802423237	1
FOXG_18122	3,370166195	3,065769406	3,674562985	1,198577746	0,261323493	0,856089796	1
FOXG_17885	2,752636803	3,065769406	2,4395042	0,795723317	-0,329661221	0,918900096	1
FOXG_17809	2,942089926	3,065769406	2,818410446	0,919315863	-0,12136746	1	1
FOXG_19315	3,061401499	3,065769406	3,057033592	0,997150531	-0,004116782	1	1
FOXG_18575	1,533610086	3,067220172	0	0	#NAME?	0,147710167	0,586563347
FOXG_15062	5,02698853	3,070901546	6,983075514	2,273949656	1,185200314	0,408186591	0,946097587
FOXG_02147	2,545847004	3,07705213	2,014641878	0,654731149	-0,611025477	0,808849188	1
FOXG_01501	6,840505452	3,08218427	10,59882663	3,438738798	1,781879535	0,155544064	0,60770017
FOXG_08062	6,522861965	3,08218427	9,963539661	3,232622967	1,69270525	0,221934999	0,733955455
FOXG_14151	5,483684199	3,08218427	7,885184128	2,558310418	1,355191327	0,37839369	0,931079982
FOXG_17082	10,21730422	3,08731641	17,34729202	5,618890233	2,490285217	0,061276912	0,342517954
FOXG_15857	2,492930331	3,08731641	1,898544253	0,614949685	-0,701459721	0,814240741	1
FOXG_05080	2,882721878	3,08731641	2,678127346	0,867461248	-0,205128785	0,907741641	1
FOXG_22905	1,546224275	3,092448549	0	0	#NAME?	0,134996031	0,558585537
FOXG_14049	2,163753667	3,092448549	1,235058785	0,399378928	-1,324169881	0,710594835	1
FOXG_22723	360,6343518	3,097580689	718,171123	231,8490445	7,857041971	9,59E-09	8,72E-07
FOXG_01342	1,974161889	3,098599134	0,849724643	0,274228645	-1,866548815	0,419764384	0,955395506
FOXG_21280	1,551865637	3,103731274	0	0	#NAME?	0,134490452	0,55764124
FOXG_22162	2,408018176	3,103731274	1,712305077	0,551692439	-0,858063886	0,682133324	1
FOXG_13059	83,91359783	3,108863413	164,7183322	52,9834574	5,727470084	7,93E-06	0,000283535
FOXG_08343	34,8163881	3,108863413	66,52391279	21,39814586	4,419413888	0,000552944	0,009099242
FOXG_09537	3,65652833	3,108863413	4,204193247	1,352324849	0,435441751	0,973022355	1
FOXG_21644	3,167189301	3,108863413	3,225515188	1,037522322	0,053142376	1	1
FOXG_13464	2,139456394	3,113995553	1,164917235	0,374090847	-1,418539426	0,56094626	1
FOXG_06734	2,52924794	3,113995553	1,944500328	0,624439019	-0,679367406	0,669540591	1
FOXG_09749	3,304373629	3,113995553	3,494751705	1,122272542	0,166423074	0,949881175	1
FOXG_17594	48,18491208	3,120146138	93,24967803	29,88631747	4,901413237	9,92E-05	0,00223291
FOXG_14782	11,86178336	3,120146138	20,60342058	6,603351147	2,723198366	0,033792521	0,225789602
FOXG_12897	9,704088817	3,120146138	16,2880315	5,220278402	2,384126749	0,051334518	0,30430893
FOXG_13329	1,773229613	3,121596904	0,424862322	0,136104159	-2,877216942	0,299994761	0,844604582
FOXG_01112	3,673614552	3,125278278	4,221950827	1,350903968	0,433925121	0,785210504	1
